synthetic_learner_id,study_hours_week,practice_tests,attendance_rate,prior_score,ready_for_assessment
SYN-LRN-0001,3.8,4,0.771,86.8,0
SYN-LRN-0002,13.5,4,0.886,52.3,1
SYN-LRN-0003,0.8,1,0.973,83.6,0
SYN-LRN-0004,0.5,5,0.923,60.1,0
SYN-LRN-0005,9.6,6,0.87,52.7,0
SYN-LRN-0006,7.1,1,0.702,64.1,0
SYN-LRN-0007,3.5,5,0.857,62.8,0
SYN-LRN-0008,14.4,3,0.941,40.3,1
SYN-LRN-0009,12.7,5,0.898,51.2,0
SYN-LRN-0010,7.8,1,0.809,62.7,0
SYN-LRN-0011,7.4,4,0.853,65.8,0
SYN-LRN-0012,6.8,6,0.862,71.6,1
SYN-LRN-0013,5.4,5,0.886,63.4,1
SYN-LRN-0014,9.2,10,0.99,71.6,1
SYN-LRN-0015,10.3,5,1.0,55.0,1
SYN-LRN-0016,8.3,8,0.825,85.9,1
SYN-LRN-0017,5.3,4,0.791,64.9,1
SYN-LRN-0018,8.5,1,0.885,51.9,0
SYN-LRN-0019,3.3,9,0.937,82.4,1
SYN-LRN-0020,5.8,2,0.814,63.4,0
SYN-LRN-0021,9.3,2,0.901,57.8,0
SYN-LRN-0022,14.7,0,0.914,79.2,1
SYN-LRN-0023,8.2,7,0.734,54.7,1
SYN-LRN-0024,8.9,2,0.788,74.9,0
SYN-LRN-0025,9.0,5,0.795,51.7,0
SYN-LRN-0026,0.5,4,0.981,60.9,0
SYN-LRN-0027,9.5,4,0.726,61.5,0
SYN-LRN-0028,6.1,5,0.645,73.6,0
SYN-LRN-0029,4.4,7,0.943,82.8,0
SYN-LRN-0030,5.8,0,0.852,78.3,1
SYN-LRN-0031,10.2,5,0.844,79.4,1
SYN-LRN-0032,7.0,4,0.712,83.2,1
SYN-LRN-0033,7.7,6,0.894,65.4,1
SYN-LRN-0034,11.0,8,0.783,83.9,1
SYN-LRN-0035,10.6,3,0.892,93.3,1
SYN-LRN-0036,7.4,7,0.901,36.1,0
SYN-LRN-0037,6.0,6,1.0,58.1,0
SYN-LRN-0038,2.4,5,0.829,61.3,0
SYN-LRN-0039,8.8,3,0.79,58.8,1
SYN-LRN-0040,9.8,6,0.838,75.7,1
SYN-LRN-0041,7.5,7,0.875,66.0,1
SYN-LRN-0042,4.9,3,0.987,50.1,0
SYN-LRN-0043,5.0,7,0.982,62.0,0
